Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Tweet ID
Kamala Harris,@KamalaHarris,2024-09-21T19:04:28.000Z,True,"My plan would give first-time homebuyers $25,000 in down payment assistance.",8.5K,3.7K,13K,2.3M,[],[],[],tweet_id:1837568598769872906
Kamala Harris,@KamalaHarris,2024-09-21T16:25:46.000Z,True,"I will gladly accept a second presidential debate on October 23.

I hope  will join me.",30K,14K,103K,15M,[],['@realDonaldTrump'],[],tweet_id:1837528658275143694
Kamala Harris,@KamalaHarris,2024-09-21T15:15:22.000Z,True,"Thank you, Nora, for all your support. I can’t believe you’re headed to college—but I know your future is bright.",1.9K,3.1K,18K,775K,[],[],[],tweet_id:1837510941384073671
Kamala Harris,@KamalaHarris,2024-09-21T14:10:38.000Z,True,"4 in 10 Latinas in America live under a Trump Abortion Ban.

Imagine what this means for working mothers who seek abortion care: the plane ticket to pay for, the child care to find.

All because extremists in the government think they know what’s in her best interest.",7.2K,4.5K,14K,769K,[],[],[],tweet_id:1837494650065576410
Tammy Baldwin,@tammybaldwin,2024-09-21T00:19:09.000Z,True,Ready to win.,3K,1.8K,13K,856K,[],[],[],tweet_id:1837285403184734717
Kamala Harris,@KamalaHarris,2024-09-21T00:02:59.000Z,True,"Americans need the opportunity to get their foot in the door to achieve their dreams.

Not everyone has the luxury of being handed $400 million on a silver platter like Donald Trump.",5.8K,3.5K,12K,575K,[],[],[],tweet_id:1837281334361805175
Kamala Harris,@KamalaHarris,2024-09-20T23:50:21.000Z,True,"In many ways, Donald Trump is an unserious man.

But the consequences of putting him back in the White House are extremely serious.",7.6K,7.1K,31K,1.2M,[],[],[],tweet_id:1837278154420887678
Kamala Harris,@KamalaHarris,2024-09-20T22:53:43.000Z,True,"What kind of country do you want to live in? You have the power to answer that question with your voice and with your vote.

I am in Madison, Wisconsin to speak about what is at stake in this election. Tune in.",2.6K,1.4K,5K,350K,[],[],[],tweet_id:1837263903144775785
Kamala Harris,@KamalaHarris,2024-09-20T22:52:24.000Z,True,". and I are both gun owners.

You can believe in the second amendment, like we do, and also support reasonable gun safety laws that protect our children—like universal background checks, red flag laws, and an assault weapons ban.",6.3K,5.1K,22K,1.9M,[],['@Tim_Walz'],[],tweet_id:1837263570809041160
Kamala Harris,@KamalaHarris,2024-09-20T22:22:50.000Z,True,"Amber Nicole Thurman. 

Let us remember her as a mother, an aspiring nurse, a daughter, a loving sister—not as a statistic.",3K,3.7K,14K,583K,[],[],[],tweet_id:1837256130344669479
Kamala Harris,@KamalaHarris,2024-09-20T20:31:35.000Z,True,"If elected, Donald Trump intends to sign a national abortion ban, and create a national anti-abortion coordinator. They even put their plan in writing: Project 2025. 

They are out of their minds.",9.6K,4.6K,14K,927K,[],[],[],tweet_id:1837228132211794179
Kamala Harris,@KamalaHarris,2024-09-20T20:06:17.000Z,True,"In America, freedom is not to be given. It is not to be bestowed. It is our right.

That includes the fundamental freedom of a woman to be able to make decisions about her own body.",7.5K,6.3K,22K,1.4M,[],[],[],tweet_id:1837221764000272786
Kamala Harris,@KamalaHarris,2024-09-20T19:58:17.000Z,True,"One in three women in America lives in a state with a Trump Abortion Ban.

And these hypocrites want to start talking about how this is in the best interest of women and children.

How dare they?",4.8K,4.5K,14K,646K,[],[],[],tweet_id:1837219752067883518
Kamala Harris,@KamalaHarris,2024-09-20T19:10:55.000Z,True,"This is a critical moment for reproductive freedom. 

I’m back in Georgia to discuss our fight to protect a woman’s right to make decisions about her own body. Watch now.",2.3K,1.9K,6.3K,340K,[],[],[],tweet_id:1837207833755943331
Kamala Harris,@KamalaHarris,2024-09-20T17:56:33.000Z,True,"Much like the presidential debate, I enjoyed this conversation.",2.4K,3.5K,32K,1.2M,[],[],[],tweet_id:1837189118859624647
Kamala Harris,@KamalaHarris,2024-09-20T16:30:07.000Z,True,"I am headed back to Georgia to meet with voters and discuss our continued fight to protect reproductive freedom.

See you soon, Atlanta.",6.1K,4.9K,33K,1.3M,[],[],[],tweet_id:1837167366284709942
Kamala Harris,@KamalaHarris,2024-09-20T16:06:25.000Z,True,"Generations of Americans before us have led the fight for freedom, including Miss Opal Lee, the grandmother of Juneteenth.

Now, she is passing the baton to us in the fight for the future of our country.

On National Black Voter Day, commit to vote: http://kamalaharris.com/commit",2.4K,4.7K,18K,534K,[],[],[],tweet_id:1837161400327631277
Kamala Harris,@KamalaHarris,2024-09-20T13:29:00.000Z,True,"Trump was “proud” to appoint the Supreme Court Justices who overturned Roe v. Wade.

If he is elected, his Project 2025 plan would rip away access to medication abortion, effectively banning abortion access nationwide.",5.4K,3.5K,11K,743K,[],[],[],tweet_id:1837121787391361282
Kamala Harris,@KamalaHarris,2024-09-20T03:05:15.000Z,True,"In state after state, Trump Abortion Bans have criminalized reproductive care. 

Must a woman be on death's door before a doctor or a nurse can provide help?",8.6K,6.1K,20K,13M,[],[],[],tweet_id:1836964812049269044
Kamala Harris,@KamalaHarris,2024-09-20T02:35:04.000Z,True,"There is so much at stake in this election, and, ultimately, the question before us is: What kind of country do we want to live in?

The beauty of a democracy, as long as we can hold on to it, is that each of us has the power to answer that question.http://go.kamalaharris.com",9.3K,7.1K,25K,32M,[],[],[],tweet_id:1836957218643526058
Kamala Harris,@KamalaHarris,2024-09-20T01:04:00.000Z,True,"It is so good to be with  for a town hall to speak directly with Americans about the issues on their minds in this election. 

Our campaign is about who we are as Americans—and making clear that we stand for freedom, independence, and dignity.",9.4K,9.1K,45K,1.7M,[],['@Oprah'],[],tweet_id:1836934301453099356
Kamala Harris,@KamalaHarris,2024-09-19T23:57:45.000Z,True,"Our campaign is fueled by optimism and our love of country. Momentum is on our side—and there is a lot of hard, joyful work to do between now and Election Day.
Tune in as I join my friend  to discuss the issues that matter most to working families.",4.2K,4.3K,14K,1.3M,[],['@Oprah'],[],tweet_id:1836917630264918483
Kamala Harris,@KamalaHarris,2024-09-19T23:16:56.000Z,True,"From the courthouse to the White House—I have always fought for the people. 

47 days to go. 

Let’s do this: http://go.kamalaharris.com",5.1K,5K,18K,537K,[],[],[],tweet_id:1836907357525135629
Kamala Harris,@KamalaHarris,2024-09-19T22:17:47.000Z,True,"Tonight, 8pm ET.

See you there: http://kamalaharris.link/Unite4AmericaLive…",4K,4K,14K,1.8M,[],[],[],tweet_id:1836892472330354733
Kamala Harris,@KamalaHarris,2024-09-19T18:26:02.000Z,True,"One does not have to abandon their faith or deeply held beliefs to agree: The government, and certainly Donald Trump, should not be telling a woman what to do with her body.",17K,10K,46K,10M,[],[],[],tweet_id:1836834148062732700
Kamala Harris,@KamalaHarris,2024-09-19T16:09:18.000Z,True,"The Congressional Black Caucus has always had a vision for the future of our nation. A future of freedom, opportunity, and justice—not for some, but for all.

Together, we are charting a new way forward.",4.1K,3.5K,14K,517K,[],[],[],tweet_id:1836799738760274379
Kamala Harris,@KamalaHarris,2024-09-19T14:17:00.000Z,True,"Donald Trump intends to cut off federal programs that give loans to small businesses. 

His plans will add more than $5 trillion to the national debt—on top of the $2 trillion tax cut he gave to billionaires when he was president.",7.8K,6.6K,17K,979K,[],[],[],tweet_id:1836771477976141884
Kamala Harris,@KamalaHarris,2024-09-18T23:35:16.000Z,True,"I look forward to joining  and grassroots supporters from across the country for a one-of-a-kind livestream event tomorrow.

Sign up: http://kamalaharris.link/KamalaAndOprah",6.8K,5.5K,20K,2M,[],['@Oprah'],[],tweet_id:1836549583402410299
Kamala Harris,@KamalaHarris,2024-09-18T18:34:16.000Z,True,"Our small business owners are the backbone of America’s economy. 

When small business thrives, our communities thrive.",4.7K,3K,12K,644K,[],[],[],tweet_id:1836473833160610001
Kamala Harris,@KamalaHarris,2024-09-18T16:08:01.000Z,True,"On average, it costs about $40,000 to start a new business in America—and the current tax deduction for a startup is just $5,000. 

That holds entrepreneurs back.

My economic plan will expand the tax deduction for startups to $50,000 so entrepreneurs can reach their full",6.9K,4.9K,14K,1.2M,[],[],[],tweet_id:1836437028310753778
Kamala Harris,@KamalaHarris,2024-09-18T13:33:00.000Z,True,"Women across the country are suffering as a result of Trump Abortion Bans, which have jeopardized access to IVF for families desperately hoping to have children. and I will always fight to protect reproductive freedom.",6.5K,4.8K,17K,829K,[],['@Tim_Walz'],[],tweet_id:1836398018020438520
Kamala Harris,@KamalaHarris,2024-09-18T11:35:00.000Z,True,"After a violation of their bodies, survivors of rape and incest are being told they cannot make decisions about what happens to them next—all because of Trump Abortion Bans.

This is immoral. Women and girls like Hadley deserve better.",14K,17K,62K,4.2M,[],[],[],tweet_id:1836368320834212256
Kamala Harris,@KamalaHarris,2024-09-18T02:08:46.000Z,True,"A young mother from Georgia should be alive today, raising her son and pursuing her dream of attending nursing school.

This is exactly what we feared when Roe v. Wade was struck down. In more than 20 states, Trump Abortion Bans prevent doctors from providing basic medical care.",15K,12K,49K,9.6M,[],[],[],tweet_id:1836225824510324818
Kamala Harris,@KamalaHarris,2024-09-18T02:08:47.000Z,True,"There is so much at stake in this election, including restoring the freedoms that have been taken away from us. If Donald Trump gets the chance, he will sign a national abortion ban, and these horrific realities will multiply.",1.2K,981,4.6K,487K,[],[],[],tweet_id:1836225827815465399
Kamala Harris,@KamalaHarris,2024-09-18T02:08:47.000Z,True,"We must pass a law to restore reproductive freedom. 

When I am President of the United States, I will proudly sign it into law. 

Lives depend on it.",1.7K,1.1K,5.3K,467K,[],[],[],tweet_id:1836225829635826087
Kamala Harris,@KamalaHarris,2024-09-18T00:40:31.000Z,True,"Donald Trump’s abortion bans jeopardized IVF access for families across America. 

Today, his Republican allies in Congress once again voted against protecting IVF.

They can’t say they care about families if they don't care about this.",10K,12K,41K,1.2M,[],[],[],tweet_id:1836203613913330050
Kamala Harris,@KamalaHarris,2024-09-18T00:09:15.000Z,True,A new way forward begins with you. Register to vote.,2.3K,3.2K,10K,583K,[],[],[],tweet_id:1836195748628582769
Kamala Harris,@KamalaHarris,2024-09-17T17:45:33.000Z,True,"We are the heirs to the greatest democracy in the history of the world.

Generations before us fought for the freedom to vote. Now, we must use the power of our votes to protect the freedoms we hold dear.

Commit to vote in the 2024 election: http://KamalaHarris.com/commit",7.5K,7.7K,23K,757K,[],[],[],tweet_id:1836099183800988126
billie eilish,@billieeilish,2024-09-17T16:03:23.000Z,True,It’s National Voter Registration Day.  We are voting for Harris-Walz. The choice is clear. Check your voting status here: https://iwillvote.com,24K,37K,239K,16M,[],[],[],tweet_id:1836073476127687112
Tim Walz,@Tim_Walz,2024-09-16T22:23:46.000Z,True,Take it from these guys: talk to the undecided voters in your life.,5.7K,16K,90K,4.3M,[],[],[],tweet_id:1835806812622160130
Kamala Harris,@KamalaHarris,2024-09-17T13:41:11.000Z,True,"Your vote is your voice—and it’s going to make all the difference in November. 

Check your registration today: http://KamalaHarris.com/commit",4.7K,5.3K,18K,752K,[],[],[],tweet_id:1836037687515505107
Kamala Harris,@KamalaHarris,2024-09-17T01:54:20.000Z,True,Let’s turn the page and chart a new way forward.,10K,5.1K,21K,4.4M,[],[],[],tweet_id:1835859804104839625
Vice President Kamala Harris,@VP,2024-09-16T23:15:02.000Z,True,"During Hispanic Heritage Month, we celebrate the rich culture and many contributions of the Hispanic community throughout our nation’s history.

Together, we continue our fight for progress for Latino communities and work towards a future where everyone has access to opportunity.",2.2K,2K,7.6K,525K,[],[],[],tweet_id:1835819713357631652
Kamala Harris,@KamalaHarris,2024-09-16T18:46:22.000Z,True,"America: In 50 days we can write the next great chapter in our country’s history—together.

Join us: http://go.kamalaharris.com",5.3K,5.6K,19K,622K,[],[],[],tweet_id:1835752104469668312
Kamala Harris,@KamalaHarris,2024-09-16T13:01:06.000Z,True,"50 days. 

Let’s make every moment count.",10K,16K,124K,3.2M,[],[],[],tweet_id:1835665211673502157
Vice President Kamala Harris,@VP,2024-09-15T19:42:23.000Z,True,"I have been briefed on reports of gunshots fired near former President Trump and his property in Florida, and I am glad he is safe. Violence has no place in America.",32K,14K,121K,13M,[],[],[],tweet_id:1835403813475570113
Kamala Harris,@KamalaHarris,2024-09-15T15:33:15.000Z,True,"It was great to meet with , , and students from UNC Charlotte on my reproductive freedom bus tour. 

I have never wavered in my support for reproductive freedoms, and I will always fight for a woman’s right to make decisions about her own body.",4.1K,3K,14K,664K,[],"['@BusyPhilipps', '@SophiaBush']",[],tweet_id:1835341116452851881
Kamala Harris,@KamalaHarris,2024-09-14T21:28:30.000Z,True,"Growing up, Mrs. Shelton lived two doors down from us and ran a nursery school. 

She was a small business owner and community leader. 

When our small businesses thrive, they boost our communities—that’s why I plan to expand the tax deduction for startups from $5,000 to $50,000.",7.1K,4.7K,19K,939K,[],[],[],tweet_id:1835068130743230778
Kamala Harris,@KamalaHarris,2024-09-14T17:11:21.000Z,True,"Gen Z is ready to lead, and shape a better tomorrow.

America’s future is bright.",11K,9.4K,46K,1.9M,[],[],[],tweet_id:1835003414045986937
Kamala Harris,@KamalaHarris,2024-09-14T15:03:05.000Z,True,"Our Harris-Walz administration will expand federal contract opportunities for rural and underserved small businesses. 

Our opportunity economy will work for all Americans.",3.8K,2.4K,8.2K,501K,[],[],[],tweet_id:1834971136926359576
Kamala Harris,@KamalaHarris,2024-09-14T12:30:28.000Z,True,"As a prosecutor and for my entire career, I've only had one client: the people.

Donald Trump only cares about himself—and he has the rap sheet to prove it. 

It’s time to turn the page. 

Watch our new ad:",8.9K,8.2K,30K,1M,[],[],[],tweet_id:1834932729508462904
Kamala Harris,@KamalaHarris,2024-09-13T23:38:00.000Z,True,"For far too long, our nation has encouraged one path to success: a four-year college degree.

As president, I will get rid of the unnecessary degree requirement for federal jobs.",12K,7.4K,46K,3.7M,[],[],[],tweet_id:1834738329624916348
Kamala Harris,@KamalaHarris,2024-09-13T23:28:23.000Z,True,"Thank you, Pennsylvania!

When people try to divide this nation and make us feel small and alone, moments like this remind us we're all in this together—as one loving community.",5.7K,7.7K,36K,921K,[],[],[],tweet_id:1834735909641539661
Kamala Harris,@KamalaHarris,2024-09-13T22:07:48.000Z,True,"It is time to unite our country to chart a new way forward.

I'm in Wilkes-Barre, Pennsylvania to speak with voters about everything on the line in this election. Tune in.",3.3K,2.3K,9K,515K,[],[],[],tweet_id:1834715632748601574
Kamala Harris,@KamalaHarris,2024-09-13T20:44:11.000Z,True,"Our campaign is fueled by hope, optimism, and our love of our country—and we know there is a lot of work to be done until Election Day.

That is why I am looking forward to joining  for her Unite for America 2024 livestream event on September 19. 

Sign up to join us:",9.2K,6.8K,22K,1.1M,[],['@Oprah'],[],tweet_id:1834694587421532396
Kamala Harris,@KamalaHarris,2024-09-13T19:47:21.000Z,True,"I remain focused on the American people—while my opponent remains focused on himself.

Watch our new ad:",5.9K,6.7K,23K,839K,[],[],[],tweet_id:1834680285163589682
Kamala Harris,@KamalaHarris,2024-09-13T17:48:00.000Z,True,"We have capped the cost of insulin at $35 a month for seniors, capped prescription costs for seniors at $2,000 a year, and allowed Medicare to negotiate drug prices

As president, I will continue to make health care more affordable for working Americans.",4.1K,3.1K,12K,1.4M,[],[],[],tweet_id:1834650251677872155
Kamala Harris,@KamalaHarris,2024-09-13T16:45:02.000Z,True,"Next stop: Pennsylvania. 

I look forward to meeting with Pennsylvanians in Wilkes-Barre and Johnstown about our people-powered campaign.",3.6K,4.2K,27K,994K,[],[],[],tweet_id:1834634405882499286
Kamala Harris,@KamalaHarris,2024-09-13T15:22:21.000Z,True,"It’s going to be a tight race until the end. 

Powerful forces are trying to convince people that their vote doesn’t matter. 

We’ve got some work ahead of us, but here’s the thing: Hard work is good work. 

With your help, we will win in November.",5.7K,7.4K,31K,959K,[],[],[],tweet_id:1834613597562864071
Kamala Harris,@KamalaHarris,2024-09-13T13:21:31.000Z,True,"It's a tragedy that we have someone who wants to be president, and has consistently used race to divide the American people.

The vast majority of us know that we have so much more in common than what separates us.",14K,12K,54K,2.4M,[],[],[],tweet_id:1834583186535305455
Kamala Harris,@KamalaHarris,2024-09-13T01:42:53.000Z,True,"Donald Trump and I are two very different people—and we would make two very different presidents.

Watch our new ad:",7.8K,9.8K,43K,1.8M,[],[],[],tweet_id:1834407369490464862
Kamala Harris,@KamalaHarris,2024-09-13T00:56:36.000Z,True,"Donald Trump wants to get rid of the Affordable Care Act and said he has “concepts of a plan” to replace it. 

He has no actual plan.",6.9K,5.7K,23K,874K,[],[],[],tweet_id:1834395722839368046
Kamala Harris,@KamalaHarris,2024-09-12T23:33:00.000Z,True,"Let me be clear: I will always put the middle class and working families first.

I know where I came from.",22K,8.6K,55K,2.9M,[],[],[],tweet_id:1834374683518480772
Kamala Harris,@KamalaHarris,2024-09-12T23:25:37.000Z,True,"Good evening, Greensboro. It’s good to be back.

Tuesday night’s debate showed us that it’s time to turn the page once and for all.

Together, let's chart a new way forward.",4.5K,4.8K,24K,853K,[],[],[],tweet_id:1834372824674222162
Kamala Harris,@KamalaHarris,2024-09-12T22:25:51.000Z,True,"We are less than two months from Election Day, and it will take all of us to fight for our fundamental freedoms. 

I'm in Greensboro to speak with North Carolina voters. Tune in.",2.1K,2.1K,8.2K,425K,[],[],[],tweet_id:1834357785812750626
Kamala Harris,@KamalaHarris,2024-09-12T20:27:45.000Z,True,"North Carolina: It’s not just the presidency on the ballot.

There are many important races happening now.",2.9K,4.2K,18K,665K,[],[],[],tweet_id:1834328064949403984
Kamala Harris,@KamalaHarris,2024-09-12T20:22:47.000Z,True,"We have 54 days until Election Day.

Ours will be a tight race until the end, and we are the underdog. We have hard work ahead of us.

With your help, we will win.",2.6K,1.8K,6.8K,435K,[],[],[],tweet_id:1834326816862974298
Kamala Harris,@KamalaHarris,2024-09-12T20:19:10.000Z,True,"On Tuesday night, Donald Trump refused to say that he would veto a national abortion ban.

He is the architect of this health care crisis.",5K,4K,17K,706K,[],[],[],tweet_id:1834325905751376006
Kamala Harris,@KamalaHarris,2024-09-12T20:12:48.000Z,True,"The people who served under Donald Trump as president believe that he should never be allowed back in the Oval Office.

His national security advisor.
His defense secretary.
His chief of staff.
His vice president.

All have warned America: Donald Trump is not fit to be president.",6.9K,13K,50K,1.4M,[],[],[],tweet_id:1834324303590142065
Kamala Harris,@KamalaHarris,2024-09-12T20:08:45.000Z,True,"Donald Trump called for the “termination” of the Constitution of the United States.

Let us be clear: Somebody who suggests we should terminate the Constitution should never again stand behind the seal of the President of the United States of America.",16K,19K,73K,2.6M,[],[],[],tweet_id:1834323284009390194
Kamala Harris,@KamalaHarris,2024-09-12T20:04:18.000Z,True,"Two nights ago, Donald Trump and I had our first debate.

We owe it to the voters to have another debate.",38K,19K,212K,11M,[],[],[],tweet_id:1834322163773427722
Kamala Harris,@KamalaHarris,2024-09-12T19:38:18.000Z,True,"Generations of Americans before us fought for freedom. Now, the baton is in our hands. 

Tune in as I rally voters in Charlotte.",2.1K,1.8K,6.7K,398K,[],[],[],tweet_id:1834315622139806144
Kamala Harris,@KamalaHarris,2024-09-12T18:44:37.000Z,True,"Women and families are suffering under Trump abortion bans: denied life-saving care, worried about criminal charges, forced to carry pregnancies from rape or incest. 

They didn’t want this—and they deserve better.

Watch our new ad:",3.5K,4.7K,15K,822K,[],[],[],tweet_id:1834302109107224628
Kamala Harris,@KamalaHarris,2024-09-12T17:17:01.000Z,True,North Carolina—I’m headed your way to speak with voters in Charlotte and Greensboro. See you soon!,4.8K,4.6K,38K,1.5M,[],[],[],tweet_id:1834280063484727758
Kamala Harris,@KamalaHarris,2024-09-12T16:07:08.000Z,True,Learn more about Trump’s extreme Project 2025: http://KamalaHarris.com/Project2025,12K,4.6K,10K,1.5M,[],[],[],tweet_id:1834262479792210160
Kamala Harris,@KamalaHarris,2024-09-12T15:13:02.000Z,True,I will be a president for all Americans.,30K,22K,189K,8.6M,[],[],[],tweet_id:1834248864599015809
Kamala Harris,@KamalaHarris,2024-09-12T03:03:26.000Z,True,"Donald Trump calls America a “failing nation.”

That’s not who we are, and Americans deserve a leader who believes in our future. 

Watch our new ad:",13K,12K,50K,2M,[],[],[],tweet_id:1834065253925040128
Kamala Harris,@KamalaHarris,2024-09-12T00:09:01.000Z,True,I will be a president that protects our fundamental rights and freedoms—including the freedom of a woman to make decisions about her own body.,13K,8.2K,47K,3.1M,[],[],[],tweet_id:1834021358679806116
Kamala Harris,@KamalaHarris,2024-09-11T22:56:20.000Z,True,"As president, I will create an opportunity economy that invests in hard-working Americans—new families, our seniors, and small businesses who deserve a break with a lower cost of living.",6.1K,3.4K,14K,649K,[],[],[],tweet_id:1834003070742606280
Kamala Harris,@KamalaHarris,2024-09-11T18:43:36.000Z,True,"In over 20 states, there are now Trump abortion bans.

When Congress passes a bill to restore the protections of Roe v. Wade, as president, I will proudly sign it into law.",6.6K,4.9K,20K,735K,[],[],[],tweet_id:1833939468761420007
Vice President Kamala Harris,@VP,2024-09-11T12:54:14.000Z,True,"Today is a day of solemn remembrance as we mourn the souls we lost in a heinous terrorist attack on September 11, 2001.

We stand in solidarity with their families and loved ones. We also honor the extraordinary heroism on display that fateful day by ordinary Americans helping",3.2K,5.7K,27K,864K,[],[],[],tweet_id:1833851545269547188
Kamala Harris,@KamalaHarris,2024-09-11T06:47:15.000Z,True,"I stopped by a debate watch party in Philly before the end of the night. 

Hard work is good work. And we are going to win.",9.2K,17K,131K,3M,[],[],[],tweet_id:1833759193456677085
Kamala Harris,@KamalaHarris,2024-09-11T04:38:33.000Z,True,We are not going back.,6.8K,8.8K,91K,2M,[],[],[],tweet_id:1833726801006256222
Official Team Kamala,@TeamKamala,2024-09-11T03:44:51.000Z,True,"Are you ready for it?  Harris-Walz friendship bracelets have hit the store!

Pre-order yours now: http://kamalaharris.link/ReadyForIt",1K,1.8K,10K,980K,[],[],['\\U0001f525'],tweet_id:1833713288879747500
Kamala Harris,@KamalaHarris,2024-09-11T03:49:57.000Z,True,"Turning the page. 

Join us: http://kamalaharris.com/ready",3.9K,4.8K,33K,1.8M,[],[],[],tweet_id:1833714571640553576
Kamala Harris,@KamalaHarris,2024-09-11T02:43:45.000Z,True,Let’s talk about what Donald Trump left us.,7.5K,9.4K,53K,2.5M,[],[],[],tweet_id:1833697914226368978
