Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Tweet ID
Scott_Harper,@Scott_Harper,2024-09-25T21:59:52.000Z,False,Investigate and punish Trump... #care2 https://thepetitionsite.com/tell-a-friend/74133754…#Trump #DonaldTrump #DonaldChump #IllegalCampaignAction #Election #ElectionIntegrityNow #Petition #Care2 #Investigation #News #NewsUpdates #NewsFeed,0,0,0,13,"['#care2', '#Trump', '#DonaldTrump', '#DonaldChump', '#IllegalCampaignAction', '#Election', '#ElectionIntegrityNow', '#Petition', '#Care2', '#Investigation', '#News', '#NewsUpdates', '#NewsFeed']",[],[],tweet_id:1839062288457994429
Bergquist,@writerdadErik,2024-09-25T21:58:31.000Z,False,"#Twitter blackout starting Tuesday Nov. 5.

A mass cancellation of accounts including blue checks.

Free yourself from hate speech, misinformation, foreign influences.

Freedom to choose what goes in your head.#freedom #HateSpeech #Lies #election",0,0,0,3,"['#Twitter', '#freedom', '#HateSpeech', '#Lies', '#election']",[],[],tweet_id:1839061951197876450
“Levii’s Jeans”,@89Mightyone,2024-09-25T21:57:36.000Z,True,#KamalaHarris #HarrisWaltz2024 #vote #VoteBlue2024 #election ,0,0,0,7,"['#KamalaHarris', '#HarrisWaltz2024', '#vote', '#VoteBlue2024', '#election']",[],"['\\U0001f499', '\\U0001f499']",tweet_id:1839061717294219369
Mahogany Woe,@MahoganyWoe,2024-09-25T21:55:19.000Z,False,Vladimir Putin’s army is already here. And you know them. Check out this op-ed from Thomas Franklin Smith. https://doxedmedia.substack.com/p/putins-army-is-already-in-the-united-states…#Putin #Russia #USA #MAGA #Trump #Election #OpEd,0,0,0,52,"['#Putin', '#Russia', '#USA', '#MAGA', '#Trump', '#Election', '#OpEd']",[],[],tweet_id:1839061143156871362
Nuclear Miss Information,@TreeOfLifeSword,2024-09-25T21:52:10.000Z,True,#MAGA#election,0,0,0,3,"['#MAGA', '#election']",[],[],tweet_id:1839060352866132047
DonnyP,@donnyp11212,2024-09-25T21:46:45.000Z,False,#Soros' Acquisition of 200 US #Radio Stations Ahead of #Election Being Fast-Tracked by #FCC Story by Jared Harris#foreign #political #interference ???,0,0,0,5,"['#Soros', '#Radio', '#Election', '#FCC', '#foreign', '#political', '#interference']",[],[],tweet_id:1839058988853575890
Silke Bettina Kargl,@sbkDiggi17,2024-09-25T21:44:29.000Z,False,"Hodges hat ihn mir Charme in Schach. Sonst wären wir davon gelaufen.
Bin sehr beeindruckt vom Engagement von  und seiner Frau Alex Schwarzkopf für den Wahlkampf für  den sie aus republikanischer demokatischer Perspektive unterstützen#241105 #election",0,0,0,1,['#election'],"['@general_ben', '@KamalaHarris']",['\\u2764\\ufe0f\\u200d\\U0001fa79'],tweet_id:1839058419006742595
Deven Martin,@devenmartin85,2024-09-25T21:40:34.000Z,False,"Really the only thing that I would ask Kamala, of everything you propose to do, like reduce taxes on middle class,  create jobs, fix the border? Why haven’t you done even one of these things already? It’s been 3.5 years and you a have been 2nd in command ? #election",0,0,0,6,['#election'],[],[],tweet_id:1839057433768996968
Patch Mildly Outraged,@Mildly_Outraged,2024-09-25T21:40:08.000Z,True,"Her campaign slogan should be: 

""What he said."" #MAGA #Trump2024 #Election #Politics",0,0,1,19,"['#MAGA', '#Trump2024', '#Election', '#Politics']",[],[],tweet_id:1839057323634954477
Kataklysmic,@K3taklysm1c,2024-09-25T21:32:57.000Z,False,If the election was today who would you vote for? #election #Trump #KamalaHarris #TimWalz #JDVance,0,0,0,12,"['#election', '#Trump', '#KamalaHarris', '#TimWalz', '#JDVance']",[],[],tweet_id:1839055515500032201
Vote Save America,@votesaveamerica,2024-09-25T21:31:53.000Z,False,Want to join your Star Trek favs for Vote Save America's special Trek the Vote event? Make it so: https://secure.actblue.com/donate/trek-the-vote…#VoteSaveAmerica #Volunteer #Election #Volunteer #StarTrek,0,2,3,1K,"['#VoteSaveAmerica', '#Volunteer', '#Election', '#Volunteer', '#StarTrek']",[],[],tweet_id:1839055248427724836
RobertFella,@Bonkavision5,2024-09-25T21:28:26.000Z,True,#Election #Elections2024 #JillStein #VladimirPutin #Russia #VoteBlueToSaveYourFreedomAndTheUSA ,0,0,0,27,"['#Election', '#Elections2024', '#JillStein', '#VladimirPutin', '#Russia', '#VoteBlueToSaveYourFreedomAndTheUSA']",['@DrJillStein'],[],tweet_id:1839054378168181102
French Ironman Éric,@RickJoh44846997,2024-09-25T21:25:59.000Z,True,"Kamala is that student who didn’t do the reading and who comes to class still drunk from last night, and who insists on explaining everything.#Kamala #Drunk #KamalaDrunk #WordSalad #KamalaWordSalad #Election #Election2024",0,3,3,157,"['#Kamala', '#Drunk', '#KamalaDrunk', '#WordSalad', '#KamalaWordSalad', '#Election', '#Election2024']",[],[],tweet_id:1839053760573915228
Dc Larson,@DcLarson7,2024-09-25T21:24:57.000Z,False,"""Ironically, Elliott then states that Harris, who is the vice president of the current administration and has been in office for nearly four years, is the candidate that 'stands for change.'""#Kamala #Walz  #Trump #MAGA #election #president",0,0,1,8,"['#Kamala', '#Walz', '#Trump', '#MAGA', '#election', '#president']",['@Democrat'],[],tweet_id:1839053500455727209
fred dobbs,@FredDobbs1990,2024-09-25T21:24:51.000Z,False,#HarrisWalz #HarrisForPOTUS #election,0,0,0,10,"['#HarrisWalz', '#HarrisForPOTUS', '#election']",[],[],tweet_id:1839053477164523982
ACLINews,@ACLINews,2024-09-25T21:20:12.000Z,True,"Are you ready for #ACLIAnnual Conference 2024? We look forward to two days of purposeful discussions on ways to make an impact on communities nationwide. Stay tuned for content on #AI, #election insights, #innovation and more.

Follow along with #ACLIAnnual for key insights.",0,0,0,26,"['#ACLIAnnual', '#AI', '#election', '#innovation', '#ACLIAnnual']",[],[],tweet_id:1839052306223956082
Stephen Waters,@sbwTweet,2024-09-25T21:20:06.000Z,True,The  just lost all trust returning #election #ballot s,0,0,0,8,"['#election', '#ballot']",['@USPS'],[],tweet_id:1839052281406435714
Richard Ingham Evans,@Ringham7,2024-09-25T21:16:02.000Z,True,"Thank you, Andy - it needs to be explained for those who fall for the TV debates where people earnestly discuss pros & cons of #election as if it was normal. NOTHING is normal when you have a sociopathic liar with no principles, no ethics & a deep seated admiration for Dictators",0,0,0,8,['#election'],[],[],tweet_id:1839051258600001677
CFO Dive,@CFODive,2024-09-25T21:14:45.000Z,False,CFOs trim spending while facing hazy post-election prospects: Fed survey #election #cfos  https://cfodive.com/news/cfos-trim-spending-facing-hazy-post-election-prospects-fed-survey-Harris-Trump/728118/… via ,0,0,0,14,"['#election', '#cfos']",['@CFODive'],[],tweet_id:1839050933772365857
Blue Falcon,@RodiimusPriime,2024-09-25T21:13:23.000Z,False,"The Serial Criminal, Revulsively Corrupt, actually impeached by TX GOP, investigated by DOJ for assorted crimes, TX AG
Ken 'Headed to the Pen' Paxton, 
is trying to Steal the 2024 Election to save Ted Cancun KochSucker Cruz & Preserve GOP Seats.  #election",0,0,0,34,['#election'],[],[],tweet_id:1839050590913171644
"Laws, Life & Health: Let's Talk About It!!!",@LawsLifeHealth,2024-09-25T21:12:35.000Z,True,It’s obvious that #DiddyArrest was also #political #propaganda tooThey been knew what type of parties #Diddy was hosting — same ole #elites doing the same things behind the scenes at every #election during every single #PRESIDENTIALcampaign  #KNOWyourREALenemy There is,0,0,0,55,"['#DiddyArrest', '#political', '#propaganda', '#Diddy', '#elites', '#election', '#PRESIDENTIALcampaign', '#KNOWyourREALenemy']",[],"['\\u274c', '\\u274c', '\\u274c']",tweet_id:1839050388260933969
Iris,@Exposing1992,2024-09-25T21:07:18.000Z,False,I'm sure she's all over it    #election,0,0,0,1,['#election'],['@SarahforWI'],['\\U0001f644'],tweet_id:1839049062248755521
ETFStockReport,@ETFStockReport,2024-09-25T21:04:33.000Z,True,- Will Joe Rogan host a interview with Donald Trump and/or Kamala Harris?#Election #stocks #ETFStockReport #USA #Trump #KamalaHarris,0,0,0,17,"['#Election', '#stocks', '#ETFStockReport', '#USA', '#Trump', '#KamalaHarris']",['@Polymarket'],[],tweet_id:1839048367076266397
TysonEngland,@TysonEnglandTKE,2024-09-25T21:00:30.000Z,True,"Truth is how would I win an #election in #Ontario? There are hardly and French, German or Chinese here. So my chances would be slim to none.",1,0,1,9,"['#election', '#Ontario']",[],[],tweet_id:1839047349395755437
ETFStockReport,@ETFStockReport,2024-09-25T20:54:15.000Z,True,"September 25,2024 Countdown to the Election: 

Here is how to play the market:https://etfstockreport.com/signup/$AAPL  $MSFT   $NVDA   $AMZN   $META   $GOOGL   $BRKB   $AVGO   $GOOG  $LLY   $TSLA   $JPM   $UNH   $XOM   $V   $PG   $MA   $COST    #stocks #election #Trump #KamalaHarris",1,0,0,264,"['#stocks', '#election', '#Trump', '#KamalaHarris']",[],[],tweet_id:1839045774958526614
Franklin Tranié,@franklintrn,2024-09-25T20:53:15.000Z,False, AI's Political Leanings Exposed! GPT-4 models put to the test on Politiscales. The results will shock you! Check them out below Is AI progressive ? conservative ?  Or something else entirely? Test your llm: https://github.com/franklintra/GPT-politics…#AIEthics #GPT #OpenAI #election,1,1,3,34,"['#AIEthics', '#GPT', '#OpenAI', '#election']",[],"['\\U0001f6a8', '\\U0001f916', '\\U0001f5f3\\ufe0f', '\\U0001f631', '\\U0001f914']",tweet_id:1839045522595918156
james_ΞLLΛRS,@Ellars,2024-09-25T20:53:06.000Z,True,"Bullshit 

Trump is a literal laughingstock.#maga #trump #election",0,0,2,12,"['#maga', '#trump', '#election']",[],[],tweet_id:1839045487833526309
Matt Diemer,@MatthewDiemer,2024-09-25T20:49:55.000Z,True,Dennis Kucinich is holding a fundraiser for millionaires.#denniskucinich #kucinich #politics #democrat #election #medina #ohio #cuyahoga,1,2,4,97,"['#denniskucinich', '#kucinich', '#politics', '#democrat', '#election', '#medina', '#ohio', '#cuyahoga']",[],[],tweet_id:1839044687329440008
starlord23,@darkphoenix2323,2024-09-25T20:49:27.000Z,False,#election #kids #smuggling ⁦⁩ ⁦⁩ ⁦⁩ ⁦⁩ ⁦⁩,0,0,0,1,"['#election', '#kids', '#smuggling']","['@bennyjohnson', '@realDonaldTrump', '@JDVance', '@charliekirk11', '@Paul_of_LAA']",[],tweet_id:1839044568773235088
stevebinks44,@stevebinks44_,2024-09-25T20:47:06.000Z,False,can someone help me    #election,0,0,0,4,['#election'],"['@realDonaldTrump', '@realDonaldTrump', '@realDonaldTrump']",[],tweet_id:1839043978081030301
Stephania Jimenez,@KSATSteph,2024-09-25T20:46:48.000Z,False,"The latest stop on our listening tour: #NewBraunfels. Listen to what people there are worried about, before the #election. #YourVoiceSouthTexas",0,0,0,52,"['#NewBraunfels', '#election', '#YourVoiceSouthTexas']",[],[],tweet_id:1839043901283279340
Miguel Fernandez,@MiguelF09443843,2024-09-25T20:46:33.000Z,False,"Southern Border Crisis & 2024 Election: Illegal Immigrants Voting Plan?!  

The Countermoves Podcast TIME: Wednesday, 8:30pm cst (ALL PLATFORMS)#TheBag  #wealth #vote2024 #election",0,0,0,2,"['#TheBag', '#wealth', '#vote2024', '#election']",[],"['\\U0001f5f3\\ufe0f', '\\U0001f6a8', '\\U0001f399\\ufe0f']",tweet_id:1839043839119511671
Nighat Seema,@NSeema786,2024-09-25T20:45:36.000Z,False,قاضی فائز کو کوئی یہ ثبوت دکھائے کہ انتخابی نتیجے کا بنیادی ثبوت اگر فارم 45 نہیں ہو سکتے تو ایسے ڈالے گئے اور خراب کیے گئے ووٹ کیسے ہو سکتے ہیں؟#RiggingAgainstPTI #Election #Pakistan #QaziFaezIsa,0,2,2,73,"['#RiggingAgainstPTI', '#Election', '#Pakistan', '#QaziFaezIsa']",[],[],tweet_id:1839043601009094801
aletheia,@thatmeanstruth,2024-09-25T20:42:47.000Z,False,"A coin dealer said, it’s about $5.76 a quarter today, which would be $28/hr. So, can we now take out all these people in office, who go against helping the “lower class” having a better life? The HARD WORKERS of the USA. #truthteller #trump #harris #election #truth",0,0,0,5,"['#truthteller', '#trump', '#harris', '#election', '#truth']",[],[],tweet_id:1839042888346513919
Kaveh Ghoreishi,@KavehGhoreishi,2024-09-25T20:42:41.000Z,False,"Donald Trump said Wednesday if he were president, he would tell #Iran or any country that if they harm a “leading candidate” in a #US presidential #election, “we are going to blow your largest cities and the country itself to smithereens.” | CNN Politics",0,0,0,187,"['#Iran', '#US', '#election']",[],[],tweet_id:1839042864120213736
Sports Journalism Africa,@SportsJournalAF,2024-09-25T20:42:03.000Z,False,"Just one more goal and Barcelona would have scores their 6,500 in the LaLiga.

Lets go boys!!!#chalobah #funny #barcelona #ucl #manu #twente #madrid #scores #fotball #election #vdm #bbn",0,0,0,136,"['#chalobah', '#funny', '#barcelona', '#ucl', '#manu', '#twente', '#madrid', '#scores', '#fotball', '#election', '#vdm', '#bbn']",[],[],tweet_id:1839042705885950072
Sam_Ridh,@Sam_ridh_k,2024-09-25T20:41:36.000Z,False,Pierre Poilievre destroyed Justin Trudeau in 47 seconds . Truth really is painful to hear right. #canada #election #EconomyMatters #tax #2024-2025 #newgovernment #Conservatives,0,1,2,27,"['#canada', '#election', '#EconomyMatters', '#tax', '#newgovernment', '#Conservatives']",[],"['\\U0001f602', '\\U0001f605', '\\U0001f606']",tweet_id:1839042594644570254
Agent TruthTeller,@AgentTruthTell3,2024-09-25T20:36:54.000Z,False,"Soros' Acquisition of 200 US Radio 
Stations Ahead of #Election Being 
Fast-Tracked by CORRUPT FCC ",0,0,0,13,['#Election'],[],['\\U0001f1fa\\U0001f1f8'],tweet_id:1839041411058118870
USC Price School,@USCPrice,2024-09-25T20:36:06.000Z,True,". will be hosting a democracy conference on October 1st at the USC Sacramento Campus titled, Understanding California's Election Landscape Ahead of the November #election.

The conference, will feature panels of national and local experts who will discuss the state of",0,0,1,65,['#election'],['@CID_USC'],[],tweet_id:1839041208913477893
DonnyP,@donnyp11212,2024-09-25T20:34:39.000Z,False,"Im going to call the #election today#Trump defeats  #Harris #KamalaMy “10” “X” #polling analytics reveal massive response gap to posts made on  compared to  by a factor of 5x
91M Trump v 21M Harris following 
4% #unemployed posting 24/7 ?",0,0,0,14,"['#election', '#Trump', '#Harris', '#Kamala', '#polling', '#unemployed']","['@realDonaldTrump', '@KamalaHarris']",[],tweet_id:1839040843052888429
Moonyani Write,@MoonyaniWrite,2024-09-25T20:30:12.000Z,True,You can’t make this up. #donaldtrump #2020 #election #capitalpunishment #deathpenalty #abolishthedeathpenalty #federalban,0,0,0,17,"['#donaldtrump', '#election', '#capitalpunishment', '#deathpenalty', '#abolishthedeathpenalty', '#federalban']",[],[],tweet_id:1839039722456264849
DonnyP,@donnyp11212,2024-09-25T20:29:23.000Z,False,"Im going to call the #election today#Trump defeats  #Harris #KamalaMy “10” “X” #polling analytics reveal massive response gap to posts made on  compared to  by a factor of 5x
91M Trump v 21M Harris following 
4% #unemployed posting 24/7 ?",0,0,0,15,"['#election', '#Trump', '#Harris', '#Kamala', '#polling', '#unemployed']","['@realDonaldTrump', '@KamalaHarris']",[],tweet_id:1839039517539611033
GeneSight,@GeneSight,2024-09-25T20:27:09.000Z,False,"47% of Americans report that news and social media around the upcoming Presidential election has made them more anxious than usual, an increase from 38% in May. Read more about how the #election season is impacting Americans' mental health: https://genesight.com/news-and-press/genesight-mental-health-monitor-special-election-series-update/…",0,0,0,11,['#election'],[],[],tweet_id:1839038956228215114
E Lon's Musky Balls of Polemic Destruction,@SJRosey1963,2024-09-25T20:22:21.000Z,False,"This is #PierrePoilievre after losing yet another attempt to force a #Canadian #election. #CanadasTrump #PoilievreIsALoser #PierrePoilievreisLying #elitist #Fascist #cpc #cdnpoli #cdnpolitics #bitch Fuck you, Pierre.",0,0,0,20,"['#PierrePoilievre', '#Canadian', '#election', '#CanadasTrump', '#PoilievreIsALoser', '#PierrePoilievreisLying', '#elitist', '#Fascist', '#cpc', '#cdnpoli', '#cdnpolitics', '#bitch']",[],[],tweet_id:1839037750236127554
Radio Nigeria,@radionigeriahq,2024-09-25T20:21:40.000Z,False,"The  Caucus in the  has condemned the governorship election in Edo State, stating that it does not reflect the true will of the people.#EdoDecides2024 #election #RadioNigeriahttps://radionigeria.gov.ng/2024/09/25/labour-party-caucus-condemns-outcome-of-edo-election/…",0,0,0,35,"['#EdoDecides2024', '#election', '#RadioNigeria']","['@NgLabour', '@HouseNGR']",[],tweet_id:1839037575773958608
Stacy Geier for Pinellas County School Board,@VoteStacyGeier,2024-09-25T20:20:04.000Z,False," Election Day is November 5th, 2024 #stacygeier#vote #pinellas #fl #florida #november #election #pinellascountyfl #conservative #values #profamily #proteacher #prosafeschools #prostudent #prosuccess #hiregeier",0,0,0,17,"['#stacygeier', '#vote', '#pinellas', '#fl', '#florida', '#november', '#election', '#pinellascountyfl', '#conservative', '#values', '#profamily', '#proteacher', '#prosafeschools', '#prostudent', '#prosuccess', '#hiregeier']",[],"['\\U0001f1fa\\U0001f1f8', '\\U0001f34a', '\\U0001f5f3', '\\U0001f1fa\\U0001f1f8', '\\U0001f34a', '\\U0001f5f3']",tweet_id:1839037175415156844
@africanmarketreport,@africanmarketreport,2024-09-25T20:15:45.000Z,False,Edo election:  Atiku silent three days afterhttps://newsanchor.ng/2024/09/24/edo-election-atiku-silent-three-days-after/?amp=1… #EdoDecides24 #Nigerians #NigeriaNews #NigeriaAtUNGA #ElectionIntegrityNow #election #SupremeCourt,0,0,0,4,"['#EdoDecides24', '#Nigerians', '#NigeriaNews', '#NigeriaAtUNGA', '#ElectionIntegrityNow', '#election', '#SupremeCourt']",['@OfficialPDPNig'],[],tweet_id:1839036085546135751
Liz Weintraub,@Tuesdaywithliz,2024-09-25T20:15:01.000Z,False,"Someone said, if you FIGHT.. you WIN! #election",0,0,0,35,['#election'],[],[],tweet_id:1839035903114883389
therealgunbros,@therealgunbros,2024-09-25T20:14:00.000Z,False,"Buy an AR Before the Election
--
Who knows what could happen! Now is the time to stock up!#election #guncontrol #assaultweaponsban",0,0,1,37,"['#election', '#guncontrol', '#assaultweaponsban']",[],[],tweet_id:1839035646079545725
Fred Soto - Future Influencer // Problem Solver,@FredNOVA2050,2024-09-25T20:12:50.000Z,True,"The #Election: While it's important for Woman Kind to have a POTUS, and of course, have the data needed to show Historians that ""having an actual female president is what is wanted, which would include the data we have so far"" I think it's more important to be proactive about the",0,0,1,13,['#Election'],[],[],tweet_id:1839035354147426505
